Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2026-01-12 16:51:00;Full Body 2;Arnold Press (Dumbbell);1;24.0;kg;10.0;;;;0;;;51m
2026-01-12 16:51:00;Full Body 2;Arnold Press (Dumbbell);2;24.0;kg;10.0;;;;0;;;51m
2026-01-12 16:51:00;Full Body 2;Arnold Press (Dumbbell);3;24.0;kg;10.0;;;;0;;;51m
2026-01-12 16:51:00;Full Body 2;Arnold Press (Dumbbell);4;20.0;kg;10.0;;;;0;;;51m
2025-11-04 18:03:00;Push;Arnold Press (Dumbbell);1;24.0;kg;11.0;;;;0;Quemado;;51m
2026-07-02 16:44:00;Upper;Lat Pulldown - Close Grip (Cable);1;50.0;kg;12.0;;;;0;;;33m
2026-07-02 16:44:00;Upper;Lat Pulldown - Close Grip (Cable);2;80.0;kg;12.0;;;;0;;;33m
2026-07-02 16:44:00;Upper;Lat Pulldown - Close Grip (Cable);3;80.0;kg;12.0;;;;0;;;33m
2026-07-02 16:44:00;Upper;Lat Pulldown - Close Grip (Cable);4;80.0;kg;12.0;;;;0;;;33m
2025-11-04 18:03:00;Push;Arnold Press (Dumbbell);2;24.0;kg;8.0;;;;0;Quemado;;51m
2025-11-04 18:03:00;Push;Arnold Press (Dumbbell);3;24.0;kg;7.0;;;;0;Quemado;;51m
2025-07-02 18:03:00;Day 2 - Chest & Triceps;Arnold Press (Dumbbell);1;24.0;kg;10.0;;;;0;;;1h 11m
2025-07-02 18:03:00;Day 2 - Chest & Triceps;Arnold Press (Dumbbell);2;24.0;kg;10.0;;;;0;;;1h 11m
2025-07-02 18:03:00;Day 2 - Chest & Triceps;Arnold Press (Dumbbell);3;24.0;kg;10.0;;;;0;;;1h 11m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);1;24.0;kg;8.0;;;;0;;;41m
2026-07-01 17:35:00;Push;Bench Press (Barbell);1;40.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Bench Press (Barbell);2;50.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Bench Press (Barbell);3;95.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Bench Press (Barbell);4;95.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Bench Press (Barbell);5;95.0;kg;12.0;;;;0;;;42m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);2;24.0;kg;8.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);3;24.0;kg;8.0;;;;0;;;41m
2024-05-05 09:15:00;Home 1;Arnold Press (Dumbbell);1;18.0;kg;8.0;;;;0;;;31m
2026-07-01 17:35:00;Push;Triceps Pushdown;1;50.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Triceps Pushdown;2;50.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Triceps Pushdown;3;50.0;kg;12.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Crunch (Machine);1;100.0;kg;15.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Crunch (Machine);2;100.0;kg;15.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Crunch (Machine);3;100.0;kg;15.0;;;;0;;;42m
2026-07-01 17:35:00;Push;Treadmill;1;0.0;kg;;;1.2;km;600;;;42m
2026-06-29 16:35:00;Pull;Bent Over Row (Barbell);1;40.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Bent Over Row (Barbell);2;60.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Bent Over Row (Barbell);3;120.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Bent Over Row (Barbell);4;120.0;kg;10.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Bent Over Row (Barbell);5;120.0;kg;9.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Lat Pulldown (Machine);1;95.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Lat Pulldown (Machine);2;95.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Lat Pulldown (Machine);3;95.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Seated Row (Machine);1;70.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Seated Row (Machine);2;70.0;kg;12.0;;;;0;;;42m
2026-06-29 16:35:00;Pull;Seated Row (Machine);3;70.0;kg;12.0;;;;0;;;42m
2024-05-05 09:15:00;Home 1;Arnold Press (Dumbbell);2;18.0;kg;8.0;;;;0;;;31m
2024-05-05 09:15:00;Home 1;Arnold Press (Dumbbell);3;18.0;kg;8.0;;;;0;;;31m
2024-03-28 09:39:00;Home 1;Arnold Press (Dumbbell);1;18.0;kg;10.0;;;;0;;;35m
2026-06-29 16:35:00;Pull;Treadmill;1;0.0;kg;;;1.2;km;600;;;42m
2026-06-25 01:06:00;Push;Push Up;1;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Push Up;2;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Push Up;3;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Push Up;4;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Push Up;5;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Pike Pushup;1;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Pike Pushup;2;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Pike Pushup;3;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Floor Triceps Dip;1;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Floor Triceps Dip;2;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Floor Triceps Dip;3;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Crunch;1;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Crunch;2;0.0;kg;12.0;;;;0;;;35m
2026-06-25 01:06:00;Push;Crunch;3;0.0;kg;13.0;;;;0;;;35m
2026-06-23 23:22:00;Lower;Frog Jumps;1;0.0;kg;12.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Frog Jumps;2;0.0;kg;12.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Frog Jumps;3;0.0;kg;12.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Frog Jumps;4;0.0;kg;12.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Frog Jumps;5;0.0;kg;12.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Superman;1;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Superman;2;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Superman;3;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Superman;4;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Superman;5;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Standing Calf Raise;1;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Standing Calf Raise;2;0.0;kg;15.0;;;;0;;;25m
2026-06-23 23:22:00;Lower;Standing Calf Raise;3;0.0;kg;15.0;;;;0;;;25m
2026-06-21 23:36:00;Upper;Decline Push Up;1;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Decline Push Up;2;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Decline Push Up;3;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Decline Push Up;4;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Decline Push Up;5;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Superman;1;0.0;kg;15.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Superman;2;0.0;kg;15.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Superman;3;0.0;kg;15.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Superman;4;0.0;kg;15.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Incline Push Ups;1;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Incline Push Ups;2;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Incline Push Ups;3;0.0;kg;12.0;;;;0;;;47m
2026-06-21 23:36:00;Upper;Pike Pushup;1;0.0;kg;12.0;;;;0;P;;47m
2026-06-21 23:36:00;Upper;Pike Pushup;2;0.0;kg;12.0;;;;0;P;;47m
2026-06-21 23:36:00;Upper;Pike Pushup;3;0.0;kg;12.0;;;;0;P;;47m
2026-06-18 16:35:00;Legs;Squat (Barbell);1;40.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Squat (Barbell);2;60.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Squat (Barbell);3;110.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Squat (Barbell);4;110.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Squat (Barbell);5;110.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Romanian Deadlift (Barbell);1;40.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Romanian Deadlift (Barbell);2;65.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Romanian Deadlift (Barbell);3;65.0;kg;12.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Romanian Deadlift (Barbell);4;65.0;kg;12.0;;;;0;;;41m
2024-03-28 09:39:00;Home 1;Arnold Press (Dumbbell);2;18.0;kg;10.0;;;;0;;;35m
2024-03-20 10:16:00;Home 1;Arnold Press (Dumbbell);1;18.0;kg;10.0;;;;0;;;37m
2024-03-20 10:16:00;Home 1;Arnold Press (Dumbbell);2;18.0;kg;10.0;;;;0;;;37m
2026-06-18 16:35:00;Legs;Decline Crunch (Weighted);1;10.0;kg;15.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Decline Crunch (Weighted);2;10.0;kg;15.0;;;;0;;;41m
2026-06-18 16:35:00;Legs;Decline Crunch (Weighted);3;10.0;kg;15.0;;;;0;;;41m
2026-06-17 18:32:00;Pull;Bent Over Row (Barbell);1;40.0;kg;12.0;;;;0;Cambiar agarre, frontal;;49m
2026-06-17 18:32:00;Pull;Bent Over Row (Barbell);2;60.0;kg;12.0;;;;0;Cambiar agarre, frontal;;49m
2026-06-17 18:32:00;Pull;Bent Over Row (Barbell);3;115.0;kg;12.0;;;;0;Cambiar agarre, frontal;;49m
2026-06-17 18:32:00;Pull;Bent Over Row (Barbell);4;115.0;kg;12.0;;;;0;Cambiar agarre, frontal;;49m
2026-06-17 18:32:00;Pull;Bent Over Row (Barbell);5;115.0;kg;12.0;;;;0;Cambiar agarre, frontal;;49m
2026-06-17 18:32:00;Pull;Lat Pulldown (Cable);1;80.0;kg;12.0;;;;0;;;49m
2026-06-17 18:32:00;Pull;Lat Pulldown (Cable);2;80.0;kg;12.0;;;;0;;;49m
2026-06-17 18:32:00;Pull;Lat Pulldown (Cable);3;80.0;kg;12.0;;;;0;;;49m
2026-06-17 18:32:00;Pull;Seated Row (Machine);1;70.0;kg;12.0;;;;0;Pecho a NIVEL 4;;49m
2026-06-17 18:32:00;Pull;Seated Row (Machine);2;70.0;kg;12.0;;;;0;Pecho a NIVEL 4;;49m
2026-06-17 18:32:00;Pull;Seated Row (Machine);3;70.0;kg;12.0;;;;0;Pecho a NIVEL 4;;49m
2024-03-20 10:16:00;Home 1;Arnold Press (Dumbbell);3;18.0;kg;10.0;;;;0;;;37m
2024-03-12 09:37:00;Satélite;Arnold Press (Dumbbell);1;18.0;kg;9.0;;;;0;;;32m
2024-03-12 09:37:00;Satélite;Arnold Press (Dumbbell);2;18.0;kg;8.0;;;;0;;;32m
2026-06-17 18:32:00;Pull;Stair Machine (Steps);1;0.0;kg;;;;;487;Floors;;49m
2024-03-12 09:37:00;Satélite;Arnold Press (Dumbbell);3;18.0;kg;8.0;;;;0;;;32m
2024-01-24 16:11:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);1;28.0;kg;12.0;;;;0;;;1h 10m
2024-01-24 16:11:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);2;28.0;kg;12.0;;;;0;;;1h 10m
2024-01-24 16:11:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);3;28.0;kg;8.0;;;;0;;;1h 10m
2024-01-12 17:48:00;Hombros, core;Arnold Press (Dumbbell);1;28.0;kg;10.0;;;;0;;;34m
2024-01-12 17:48:00;Hombros, core;Arnold Press (Dumbbell);2;28.0;kg;10.0;;;;0;;;34m
2024-01-12 17:48:00;Hombros, core;Arnold Press (Dumbbell);3;28.0;kg;10.0;;;;0;;;34m
2023-12-29 17:00:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);1;24.0;kg;12.0;;;;0;;;56m
2026-06-15 17:41:00;Push;Skullcrusher (Barbell);1;30.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Skullcrusher (Barbell);2;30.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Skullcrusher (Barbell);3;30.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Crunch (Machine);1;95.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Crunch (Machine);2;95.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Crunch (Machine);3;95.0;kg;15.0;;;;0;;;51m
2026-06-15 17:41:00;Push;Treadmill;1;0.0;kg;;;1.41;km;600;;;51m
2026-06-12 17:53:00;Lower;Leg Press (Machine);1;60.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Leg Press (Machine);2;90.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Leg Press (Machine);3;160.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Leg Press (Machine);4;160.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Leg Press (Machine);5;160.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Back Extension (Weighted Hyperextension);1;10.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Back Extension (Weighted Hyperextension);2;10.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Back Extension (Weighted Hyperextension);3;20.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Back Extension (Weighted Hyperextension);4;20.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Back Extension (Weighted Hyperextension);5;20.0;kg;12.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Seated Leg Curl (Machine);1;60.0;kg;15.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Seated Leg Curl (Machine);2;60.0;kg;15.0;;;;0;;;1h 3m
2026-06-12 17:53:00;Lower;Seated Leg Curl (Machine);3;60.0;kg;15.0;;;;0;;;1h 3m
2023-12-29 17:00:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);2;24.0;kg;12.0;;;;0;;;56m
2023-12-29 17:00:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);3;24.0;kg;11.0;;;;0;;;56m
2023-12-15 16:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);1;20.0;kg;12.0;;;;0;;;59m
2026-06-12 17:53:00;Lower;Treadmill;1;0.0;kg;;;1.0;km;600;;;1h 3m
2023-12-15 16:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);2;20.0;kg;12.0;;;;0;;;59m
2023-12-15 16:22:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);3;20.0;kg;12.0;;;;0;;;59m
2023-07-10 17:38:00;Full Body 3;Arnold Press (Dumbbell);1;28.0;kg;10.0;;;;0;;;46m
2023-07-10 17:38:00;Full Body 3;Arnold Press (Dumbbell);2;28.0;kg;10.0;;;;0;;;46m
2023-07-10 17:38:00;Full Body 3;Arnold Press (Dumbbell);3;28.0;kg;7.0;;;;0;;;46m
2026-06-11 17:27:00;Upper;Lat Pulldown (Machine);1;40.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Lat Pulldown (Machine);2;100.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Lat Pulldown (Machine);3;100.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Lat Pulldown (Machine);4;100.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Iso-Lateral Chest Press (Machine);1;80.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Iso-Lateral Chest Press (Machine);2;80.0;kg;12.0;;;;0;;;47m
2026-06-11 17:27:00;Upper;Iso-Lateral Chest Press (Machine);3;80.0;kg;12.0;;;;0;;;47m
2023-07-10 17:38:00;Full Body 3;Arnold Press (Dumbbell);4;12.0;kg;12.0;;;;0;;;46m
2023-04-07 16:48:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);1;28.0;kg;12.0;;;;0;;;54m
2023-04-07 16:48:00;Day 5 - Shoulders, Traps and Forearms;Arnold Press (Dumbbell);2;28.0;kg;12.0;;;;0;;;54m
2026-06-11 17:27:00;Upper;Cycling;1;0.0;kg;;;1.6;km;318;;;47m
2026-06-10 17:48:00;Legs;Squat (Barbell);1;40.0;kg;12.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Squat (Barbell);2;60.0;kg;12.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Squat (Barbell);3;110.0;kg;11.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Squat (Barbell);4;110.0;kg;11.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Squat (Barbell);5;110.0;kg;10.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Romanian Deadlift (Barbell);1;40.0;kg;12.0;;;;0;;;42m
2026-06-10 17:48:00;Legs;Romanian Deadlift (Barbell);2;60.0;kg;12.0;;;;0;;;42m
