title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Full Body 2,"12 Jan 2026, 16:51","12 Jan 2026, 17:42",,Arnold Press (Dumbbell),,,0,normal,24,10,,,
Full Body 2,"12 Jan 2026, 16:51","12 Jan 2026, 17:42",,Arnold Press (Dumbbell),,,1,normal,24,10,,,
Full Body 2,"12 Jan 2026, 16:51","12 Jan 2026, 17:42",,Arnold Press (Dumbbell),,,2,normal,24,10,,,
Full Body 2,"12 Jan 2026, 16:51","12 Jan 2026, 17:42",,Arnold Press (Dumbbell),,,3,warmup,20,10,,,
Push,"4 Nov 2025, 18:03","4 Nov 2025, 18:54",,Arnold Press (Dumbbell),,Quemado,0,normal,24,11,,,
Upper,"2 Jul 2026, 16:44","2 Jul 2026, 17:17",,Lat Pulldown - Close Grip (Cable),,,0,warmup,50,12,,,
Upper,"2 Jul 2026, 16:44","2 Jul 2026, 17:17",,Lat Pulldown - Close Grip (Cable),,,1,normal,80,12,,,
Upper,"2 Jul 2026, 16:44","2 Jul 2026, 17:17",,Lat Pulldown - Close Grip (Cable),,,2,normal,80,12,,,
Upper,"2 Jul 2026, 16:44","2 Jul 2026, 17:17",,Lat Pulldown - Close Grip (Cable),,,3,normal,80,12,,,
Push,"4 Nov 2025, 18:03","4 Nov 2025, 18:54",,Arnold Press (Dumbbell),,Quemado,1,normal,24,8,,,
Push,"4 Nov 2025, 18:03","4 Nov 2025, 18:54",,Arnold Press (Dumbbell),,Quemado,2,normal,24,7,,,
Day 2 - Chest & Triceps,"2 Jul 2025, 18:03","2 Jul 2025, 19:14",,Arnold Press (Dumbbell),,,0,normal,24,10,,,
Day 2 - Chest & Triceps,"2 Jul 2025, 18:03","2 Jul 2025, 19:14",,Arnold Press (Dumbbell),,,1,normal,24,10,,,
Day 2 - Chest & Triceps,"2 Jul 2025, 18:03","2 Jul 2025, 19:14",,Arnold Press (Dumbbell),,,2,normal,24,10,,,
"Day 5 - Shoulders, Traps and Forearms","13 Jun 2025, 19:22","13 Jun 2025, 20:03",,Arnold Press (Dumbbell),,,0,normal,24,8,,,
Push,"1 Jul 2026, 17:35","1 Jul 2026, 18:17",,Bench Press (Barbell),,,0,warmup,40,12,,,
Push,"1 Jul 2026, 17:35","1 Jul 2026, 18:17",,Bench Press (Barbell),,,1,warmup,50,12,,,
Push,"1 Jul 2026, 17:35","1 Jul 2026, 18:17",,Bench Press (Barbell),,,2,normal,95,12,,,
Push,"1 Jul 2026, 17:35","1 Jul 2026, 18:17",,Bench Press (Barbell),,,3,normal,95,12,,,
Push,"1 Jul 2026, 17:35","1 Jul 2026, 18:17",,Bench Press (Barbell),,,4,normal,95,12,,,
